,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
1235,John Rave,670231,578,498,129,2397,989,777,125,65,3,385,152,90,99,71,32,5,21,0.7856420626895855,0.4125990821860659,0.21626297577854672,0.11245674740484429,0.25903614457831325,0.3408304498269896,0.46987951807228917,All,2397.0,385.0,0.3948051948051948,0.23376623376623376,0.2571428571428571,0.3038961038961039,0.23297785069729288,103.85
1236,John Rhodes,687981,413,376,76,1610,688,497,98,33,5,279,0,0,0,52,16,0,8,0.7223837209302325,0.42732919254658386,0.23728813559322035,0.07990314769975787,0.20212765957446807,0.27602905569007263,0.30851063829787234,All,,,,,,,,
1237,John Spikerman,701811,75,62,14,326,129,90,20,9,4,42,23,9,8,9,4,1,0,0.6976744186046512,0.39570552147239263,0.26666666666666666,0.12,0.22580645161290322,0.36,0.3225806451612903,All,326.0,42.0,0.5476190476190477,0.21428571428571427,0.19047619047619047,0.21428571428571427,0.19760479041916168,95.73
1238,Johnathan Rodriguez,671286,508,440,132,2085,874,630,129,63,2,314,154,65,75,85,18,0,29,0.7208237986270023,0.41918465227817747,0.25393700787401574,0.12401574803149606,0.3,0.38779527559055116,0.5386363636363637,All,2085.0,314.0,0.49044585987261147,0.2070063694267516,0.23885350318471338,0.2929936305732484,0.24176857949200375,108.29
1239,Johnathon Thomas,684976,268,236,45,1020,494,316,89,15,11,154,0,0,0,33,8,4,0,0.6396761133603239,0.4843137254901961,0.332089552238806,0.055970149253731345,0.1906779661016949,0.26492537313432835,0.2584745762711864,All,,,,,,,,
1240,Johnfrank Salazar,692564,342,302,78,1200,580,459,48,30,6,259,81,35,30,59,17,0,2,0.7913793103448276,0.48333333333333334,0.14035087719298245,0.08771929824561403,0.2582781456953642,0.3333333333333333,0.3344370860927152,All,730.0,152.0,0.5328947368421053,0.23026315789473684,0.19736842105263158,0.3092105263157895,0.26713947990543735,101.88
1241,Johnny Ascanio,691392,358,305,67,1265,642,486,57,35,6,260,39,21,30,52,11,0,4,0.7570093457943925,0.5075098814229249,0.15921787709497207,0.09776536312849161,0.21967213114754097,0.3016759776536313,0.29508196721311475,All,479.0,104.0,0.375,0.20192307692307693,0.28846153846153844,0.27884615384615385,0.3506944444444444,97.18
1242,Johnny Olmstead,675394,514,456,114,1928,994,746,95,42,11,368,5,2,3,74,22,4,14,0.7505030181086519,0.5155601659751037,0.18482490272373542,0.08171206225680934,0.25,0.32490272373540857,0.40789473684210525,All,75.0,12.0,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.2619047619047619,102.64
1243,Johnny Tincher,814816,216,176,31,821,331,238,56,35,5,122,0,0,0,23,5,0,3,0.7190332326283988,0.40316686967113274,0.25925925925925924,0.16203703703703703,0.17613636363636365,0.3287037037037037,0.2556818181818182,All,,,,,,,,
1244,Jommer Hernandez,678912,147,132,32,535,266,168,42,12,2,91,0,0,0,28,3,0,1,0.631578947368421,0.497196261682243,0.2857142857142857,0.08163265306122448,0.24242424242424243,0.3129251700680272,0.2878787878787879,All,,,,,,,,
1245,Jon Berti,542932,54,45,14,228,75,57,13,7,1,33,7,6,2,11,1,0,2,0.76,0.32894736842105265,0.24074074074074073,0.12962962962962962,0.3111111111111111,0.4074074074074074,0.4666666666666667,All,86.0,16.0,0.4375,0.375,0.125,0.5,0.06976744186046512,100.08
1246,Jon Jon Gazdar,822501,71,61,16,226,111,97,5,7,2,57,28,12,11,12,3,1,0,0.8738738738738738,0.4911504424778761,0.07042253521126761,0.09859154929577464,0.26229508196721313,0.352112676056338,0.3442622950819672,All,226.0,57.0,0.49122807017543857,0.21052631578947367,0.19298245614035087,0.22807017543859648,0.27586206896551724,100.48
1247,Jonah Advincula,809945,373,306,76,1486,586,483,75,55,9,235,0,0,0,58,10,3,5,0.8242320819112628,0.3943472409152086,0.20107238605898123,0.14745308310991956,0.24836601307189543,0.3753351206434316,0.34967320261437906,All,,,,,,,,
1248,Jonah Bride,681146,330,262,70,1461,476,407,56,60,5,209,98,57,43,44,14,1,11,0.8550420168067226,0.3258042436687201,0.1696969696969697,0.18181818181818182,0.26717557251908397,0.4090909090909091,0.4541984732824427,All,1461.0,209.0,0.4688995215311005,0.2727272727272727,0.20574162679425836,0.3397129186602871,0.18194070080862534,100.42
1249,Jonah Cox,813841,458,389,104,1909,913,654,121,56,11,270,0,0,0,82,9,8,5,0.7163198247535597,0.4782608695652174,0.26419213973799127,0.1222707423580786,0.26735218508997427,0.37336244541484714,0.37017994858611825,All,,,,,,,,
1250,Jonatan Clase,682729,425,369,97,1711,756,573,110,48,0,267,92,75,78,60,21,4,12,0.7579365079365079,0.4418468731735827,0.25882352941176473,0.11294117647058824,0.26287262872628725,0.3411764705882353,0.43902439024390244,All,1711.0,267.0,0.3445692883895131,0.2808988764044944,0.29213483146067415,0.4044943820224719,0.27555555555555555,102.6
1251,Jonathan Aranda,666018,144,118,28,602,242,170,47,23,2,72,27,19,22,20,1,0,7,0.7024793388429752,0.4019933554817276,0.3263888888888889,0.1597222222222222,0.23728813559322035,0.3680555555555556,0.423728813559322,All,602.0,72.0,0.375,0.2638888888888889,0.3055555555555556,0.2916666666666667,0.20394736842105263,102.76
1252,Jonathan Araúz,660620,246,226,51,986,448,347,57,19,0,170,76,40,36,36,11,1,3,0.7745535714285714,0.4543610547667343,0.23170731707317074,0.07723577235772358,0.22566371681415928,0.2845528455284553,0.3230088495575221,All,986.0,170.0,0.4470588235294118,0.23529411764705882,0.21176470588235294,0.29411764705882354,0.28189300411522633,104.68
1253,Jonathan Davis,641505,283,241,55,1166,458,332,79,34,9,162,89,31,35,38,12,1,4,0.7248908296943232,0.3927958833619211,0.2791519434628975,0.12014134275618374,0.22821576763485477,0.3462897526501767,0.3360995850622407,All,1166.0,162.0,0.5493827160493827,0.19135802469135801,0.21604938271604937,0.2777777777777778,0.2238562091503268,100.64
1254,Jonathan Guzman,666695,16,16,2,85,50,33,7,0,0,9,4,2,3,1,1,0,0,0.66,0.5882352941176471,0.4375,0.0,0.125,0.125,0.1875,All,85.0,9.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.44,98.24
1255,Jonathan Guzmán,666695,161,143,27,577,326,233,43,14,0,104,45,25,18,20,5,0,2,0.7147239263803681,0.5649913344887348,0.2670807453416149,0.08695652173913043,0.1888111888111888,0.2546583850931677,0.26573426573426573,All,552.0,98.0,0.45918367346938777,0.25510204081632654,0.1836734693877551,0.29591836734693877,0.4452054794520548,99.06
1256,Jonathan Ornelas,680716,367,331,83,1452,581,446,87,30,5,246,133,52,32,67,10,3,3,0.7676419965576592,0.400137741046832,0.23705722070844687,0.08174386920980926,0.25075528700906347,0.3215258855585831,0.32628398791540786,All,1452.0,246.0,0.540650406504065,0.21138211382113822,0.13008130081300814,0.22764227642276422,0.2644628099173554,104.4
1257,Jonathon Long,675085,488,406,115,1980,783,604,101,68,7,312,0,0,0,77,21,0,17,0.7713920817369093,0.39545454545454545,0.2069672131147541,0.13934426229508196,0.2832512315270936,0.38934426229508196,0.4605911330049261,All,,,,,,,,
1258,Jonny Butler,695358,522,451,101,2125,948,741,111,64,6,341,0,0,0,62,26,5,8,0.7816455696202531,0.4461176470588235,0.21264367816091953,0.12260536398467432,0.22394678492239467,0.3275862068965517,0.35698447893569846,All,,,,,,,,
1259,Jonny DeLuca,676356,25,20,6,98,45,40,1,4,1,19,6,6,5,3,1,0,2,0.8888888888888888,0.45918367346938777,0.04,0.16,0.3,0.44,0.65,All,98.0,19.0,0.3157894736842105,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.23529411764705882,104.7
1260,Jonny Farmelo,806071,219,177,47,956,339,267,51,36,5,128,0,0,0,30,10,3,4,0.7876106194690266,0.35460251046025104,0.2328767123287671,0.1643835616438356,0.2655367231638418,0.4018264840182648,0.423728813559322,All,,,,,,,,
1261,Jorbit Vivas,678391,451,374,84,1792,812,626,76,64,10,302,120,63,71,54,19,2,9,0.770935960591133,0.453125,0.16851441241685144,0.1419068736141907,0.22459893048128343,0.35033259423503327,0.3582887700534759,All,1726.0,289.0,0.41522491349480967,0.2179930795847751,0.24567474048442905,0.30103806228373703,0.2620041753653445,100.94000000000001
1262,Jordan Beck,687597,189,163,52,691,322,225,44,23,1,121,47,36,35,31,11,2,8,0.6987577639751553,0.46599131693198265,0.2328042328042328,0.12169312169312169,0.31901840490797545,0.4021164021164021,0.558282208588957,All,691.0,121.0,0.3884297520661157,0.2975206611570248,0.2892561983471074,0.371900826446281,0.2756756756756757,104.4
1263,Jordan Brewer,685084,334,295,66,1193,614,458,66,26,10,232,0,0,0,40,18,1,7,0.745928338762215,0.5146689019279128,0.19760479041916168,0.07784431137724551,0.22372881355932203,0.30538922155688625,0.36271186440677966,All,,,,,,,,
1264,Jordan Diaz,672478,436,395,119,1569,832,634,78,34,5,319,164,87,56,74,22,1,22,0.7620192307692307,0.5302740599107711,0.17889908256880735,0.0779816513761468,0.3012658227848101,0.3623853211009174,0.529113924050633,All,1569.0,319.0,0.5141065830721003,0.2727272727272727,0.1755485893416928,0.30407523510971785,0.33811230585424135,105.9
1265,Jordan Dissin,805301,321,265,57,1279,525,380,80,43,10,189,0,0,0,41,7,0,9,0.7238095238095238,0.4104769351055512,0.24922118380062305,0.13395638629283488,0.21509433962264152,0.3426791277258567,0.3433962264150943,All,,,,,,,,
1266,Jordan Groshans,677954,383,341,80,1483,695,559,67,38,1,277,23,8,13,61,14,1,4,0.8043165467625899,0.4686446392447741,0.17493472584856398,0.09921671018276762,0.23460410557184752,0.31070496083550914,0.31671554252199413,All,241.0,46.0,0.5,0.17391304347826086,0.2826086956521739,0.2826086956521739,0.16379310344827586,104.3
1267,Jordan Lawlar,691783,67,56,19,251,112,79,19,9,0,39,10,13,9,13,3,1,2,0.7053571428571429,0.44621513944223107,0.2835820895522388,0.13432835820895522,0.3392857142857143,0.417910447761194,0.5357142857142857,All,210.0,34.0,0.29411764705882354,0.38235294117647056,0.2647058823529412,0.4411764705882353,0.23300970873786409,101.23
1268,Jordan Luplow,656669,254,220,56,1042,489,359,52,28,3,171,64,36,49,33,13,0,10,0.7341513292433538,0.4692898272552783,0.2047244094488189,0.11023622047244094,0.2545454545454545,0.3425196850393701,0.45,All,1042.0,171.0,0.3742690058479532,0.21052631578947367,0.28654970760233917,0.3508771929824561,0.225,102.54
