,BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,Brl%,EV 90,xwOBA,xBA
1175,Lawrence Butler,671732,22.0,20.0,4.0,77,29,25,4,2,0,16,4,3,7,2,1,0,1,0.8620689655172413,0.37662337662337664,0.18181818181818182,0.09090909090909091,0.2,0.2727272727272727,0.4,LHP,413,74,0.40540540540540543,0.21621621621621623,0.2972972972972973,0.28378378378378377,0.2171945701357466,0.12162162162162163,105.0,0.3476442307692308,0.24005494505494504
1176,Lenyn Sosa,672820,26.0,25.0,8.0,100,61,51,4,1,0,21,5,9,6,7,1,0,0,0.8360655737704918,0.61,0.15384615384615385,0.038461538461538464,0.32,0.34615384615384615,0.36,LHP,290,60,0.31666666666666665,0.31666666666666665,0.25,0.38333333333333336,0.46808510638297873,0.03333333333333333,102.88,0.3010853658536585,0.2704556962025316
1177,Leo Rivas,660844,9.0,8.0,3.0,43,10,9,2,1,0,6,3,2,1,3,0,0,0,0.9,0.23255813953488372,0.2222222222222222,0.1111111111111111,0.375,0.4444444444444444,0.375,LHP,118,14,0.5,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.078125,0.0,97.1,0.3249166666666667,0.19611111111111112
1178,Leody Taveras,665750,9.0,9.0,1.0,33,19,9,4,0,0,5,2,0,3,1,0,0,0,0.47368421052631576,0.5757575757575758,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,LHP,217,44,0.38636363636363635,0.20454545454545456,0.25,0.20454545454545456,0.40217391304347827,0.022727272727272728,97.9,0.19539344262295083,0.17903333333333332
1179,Liam Hicks,689414,22.0,15.0,2.0,72,32,25,5,2,2,13,5,2,5,1,1,0,0,0.78125,0.4444444444444444,0.22727272727272727,0.09090909090909091,0.13333333333333333,0.2727272727272727,0.2,LHP,202,42,0.40476190476190477,0.2619047619047619,0.30952380952380953,0.35714285714285715,0.22826086956521738,0.0,97.78,0.3082565714285714,0.26075
1180,Logan O'Hoppe,681351,12.0,12.0,4.0,38,17,14,3,0,0,9,4,2,3,3,0,0,1,0.8235294117647058,0.4473684210526316,0.25,0.0,0.3333333333333333,0.3333333333333333,0.5833333333333334,LHP,268,40,0.35,0.175,0.45,0.45,0.3475177304964539,0.175,103.67999999999999,0.3189855072463768,0.23208955223880598
1181,Lourdes Gurriel Jr.,666971,21.0,20.0,3.0,82,46,36,3,1,0,17,4,5,7,2,0,0,1,0.782608695652174,0.5609756097560976,0.14285714285714285,0.047619047619047616,0.15,0.19047619047619047,0.3,LHP,314,74,0.3108108108108108,0.24324324324324326,0.3783783783783784,0.43243243243243246,0.34459459459459457,0.08108108108108109,103.53999999999999,0.30123863636363635,0.24656470588235294
1182,Luis Arraez,650333,36.0,31.0,9.0,127,65,61,1,1,1,33,15,8,9,6,1,0,2,0.9384615384615385,0.5118110236220472,0.027777777777777776,0.027777777777777776,0.2903225806451613,0.3055555555555556,0.5161290322580645,LHP,333,88,0.4318181818181818,0.32954545454545453,0.22727272727272727,0.4318181818181818,0.2953020134228188,0.0,96.48,0.29283432978723406,0.2726555555555556
1183,Luis Garcia,671277,15.0,12.0,1.0,58,33,24,1,2,0,12,7,2,2,1,0,0,0,0.7272727272727273,0.5689655172413793,0.06666666666666667,0.13333333333333333,0.08333333333333333,0.2,0.08333333333333333,LHP,273,67,0.5522388059701493,0.1791044776119403,0.23880597014925373,0.3283582089552239,0.3835616438356164,0.05970149253731343,101.7,0.33793902439024387,0.28669736842105265
1184,Luis Matos,682641,21.0,21.0,2.0,74,42,33,3,0,0,18,11,2,5,0,1,0,1,0.7857142857142857,0.5675675675675675,0.14285714285714285,0.0,0.09523809523809523,0.09523809523809523,0.2857142857142857,LHP,123,31,0.5806451612903226,0.12903225806451613,0.1935483870967742,0.25806451612903225,0.43283582089552236,0.06451612903225806,101.71,0.26654285714285714,0.22352941176470587
1185,Luis Rengifo,650859,15.0,15.0,3.0,49,28,23,1,0,0,14,8,6,0,2,1,0,0,0.8214285714285714,0.5714285714285714,0.06666666666666667,0.0,0.2,0.2,0.26666666666666666,LHP,329,70,0.5428571428571428,0.24285714285714285,0.18571428571428572,0.32857142857142857,0.2695035460992908,0.04285714285714286,100.78000000000002,0.2784597701149425,0.24310843373493976
1186,Luis Robert,673357,26.0,20.0,3.0,114,54,39,7,4,0,13,4,3,4,2,1,0,0,0.7222222222222222,0.47368421052631576,0.2692307692307692,0.15384615384615385,0.15,0.2692307692307692,0.2,LHP,354,50,0.42,0.16,0.22,0.3,0.3034825870646766,0.12,105.18,0.310561797752809,0.21432467532467533
1187,Luis Torrens,620443,10.0,10.0,3.0,43,21,14,4,0,0,6,3,3,0,1,2,0,0,0.6666666666666666,0.4883720930232558,0.4,0.0,0.3,0.3,0.5,LHP,257,44,0.5227272727272727,0.25,0.22727272727272727,0.4318181818181818,0.2627118644067797,0.18181818181818182,103.41000000000001,0.3951967213114754,0.3294137931034483
1188,Luis Urias,649966,7.0,6.0,2.0,26,13,12,0,0,0,6,3,1,2,2,0,0,0,0.9230769230769231,0.5,0.0,0.0,0.3333333333333333,0.2857142857142857,0.3333333333333333,LHP,109,24,0.375,0.20833333333333334,0.375,0.375,0.25,0.08333333333333333,103.1,0.3377741935483871,0.2715714285714286
1189,Luisangel Acuna,682668,14.0,11.0,3.0,66,32,27,4,3,0,7,4,2,1,1,2,0,0,0.84375,0.48484848484848486,0.2857142857142857,0.21428571428571427,0.2727272727272727,0.42857142857142855,0.45454545454545453,LHP,221,41,0.5365853658536586,0.24390243902439024,0.17073170731707318,0.36585365853658536,0.3076923076923077,0.0,101.58,0.2885423728813559,0.2340377358490566
1190,Luke Keaschall,807712,6.0,5.0,1.0,20,13,9,1,0,1,4,1,1,2,0,1,0,0,0.6923076923076923,0.65,0.16666666666666666,0.0,0.2,0.3333333333333333,0.4,LHP,83,15,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.21428571428571427,0.06666666666666667,101.0,0.38598977272727275,0.2652941176470588
1191,Luke Raley,670042,15.0,13.0,0.0,56,30,21,3,2,0,10,7,1,2,0,0,0,0,0.7,0.5357142857142857,0.2,0.13333333333333333,0.0,0.13333333333333333,0.0,LHP,287,42,0.5714285714285714,0.16666666666666666,0.21428571428571427,0.30952380952380953,0.2536231884057971,0.14285714285714285,105.9,0.36992038028169016,0.24822413793103448
1192,Luken Baker,663609,28.0,23.0,7.0,122,53,34,7,5,0,16,6,5,1,5,2,0,0,0.6415094339622641,0.4344262295081967,0.25,0.17857142857142858,0.30434782608695654,0.42857142857142855,0.391304347826087,LHP,142,20,0.4,0.25,0.15,0.3,0.18571428571428572,0.1,105.85,0.3416666666666667,0.26135714285714284
1193,MJ Melendez,669004,10.0,7.0,1.0,41,16,13,2,1,2,5,1,1,2,0,0,0,1,0.8125,0.3902439024390244,0.2,0.1,0.14285714285714285,0.4,0.5714285714285714,LHP,226,27,0.3333333333333333,0.18518518518518517,0.2962962962962963,0.3333333333333333,0.3064516129032258,0.1111111111111111,100.2,0.22480488461538461,0.13663829787234041
1194,Maikel Garcia,672580,17.0,16.0,7.0,70,31,22,6,1,0,10,9,1,0,5,2,0,0,0.7096774193548387,0.44285714285714284,0.35294117647058826,0.058823529411764705,0.4375,0.47058823529411764,0.5625,LHP,332,64,0.453125,0.296875,0.1875,0.390625,0.2222222222222222,0.0625,105.08,0.3717674418604651,0.30214285714285716
1195,Manny Machado,592518,35.0,31.0,9.0,152,79,60,8,4,0,23,8,5,8,5,2,0,2,0.759493670886076,0.5197368421052632,0.22857142857142856,0.11428571428571428,0.2903225806451613,0.37142857142857144,0.5483870967741935,LHP,415,76,0.42105263157894735,0.27631578947368424,0.2236842105263158,0.3684210526315789,0.33962264150943394,0.10526315789473684,104.58,0.3898811881188119,0.32131521739130436
1196,Manuel Margot,622534,15.0,14.0,4.0,49,27,20,4,0,0,11,3,5,2,4,0,0,0,0.7407407407407407,0.5510204081632653,0.26666666666666666,0.0,0.2857142857142857,0.26666666666666666,0.2857142857142857,LHP,68,14,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.3076923076923077,0.0,95.96000000000001,0.29795,0.3019
1197,Marcell Ozuna,542303,17.0,10.0,3.0,84,23,18,2,7,0,8,6,1,0,2,1,0,0,0.782608695652174,0.27380952380952384,0.11764705882352941,0.4117647058823529,0.3,0.5882352941176471,0.4,LHP,409,47,0.2978723404255319,0.3404255319148936,0.2553191489361702,0.44680851063829785,0.18222222222222223,0.10638297872340426,105.47,0.44220000000000004,0.2921969696969697
1198,Marcus Semien,543760,20.0,17.0,4.0,78,37,27,5,2,0,13,4,2,5,3,1,0,0,0.7297297297297297,0.47435897435897434,0.25,0.1,0.23529411764705882,0.3,0.29411764705882354,LHP,377,70,0.4142857142857143,0.14285714285714285,0.35714285714285715,0.2714285714285714,0.25136612021857924,0.08571428571428572,99.46000000000001,0.28846315789473687,0.21139080459770113
1199,Mark Canha,592192,10.0,9.0,4.0,39,19,17,0,1,0,9,3,4,2,3,1,0,0,0.8947368421052632,0.48717948717948717,0.0,0.1,0.4444444444444444,0.5,0.5555555555555556,LHP,90,16,0.375,0.3125,0.1875,0.375,0.23809523809523808,0.0,99.78,0.3401557727272727,0.28805263157894734
1200,Mark Vientos,668901,15.0,15.0,1.0,68,33,22,3,0,0,12,7,1,2,0,1,0,0,0.6666666666666666,0.4852941176470588,0.2,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,LHP,372,62,0.41935483870967744,0.24193548387096775,0.27419354838709675,0.3548387096774194,0.2736318407960199,0.06451612903225806,104.1,0.2972222222222222,0.2247875
1201,Martin Maldonado,455117,13.0,12.0,5.0,42,18,14,2,1,0,10,5,4,1,4,0,0,1,0.7777777777777778,0.42857142857142855,0.15384615384615385,0.07692307692307693,0.4166666666666667,0.46153846153846156,0.6666666666666666,LHP,132,28,0.5,0.21428571428571427,0.17857142857142858,0.39285714285714285,0.38181818181818183,0.10714285714285714,101.74000000000001,0.3229756097560975,0.28325
1202,Mason McCoy,669200,1.0,1.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,LHP,18,2,1.0,0.0,0.0,0.5,0.7142857142857143,0.0,77.99000000000001,0.062,0.0668
1203,Masyn Winn,691026,14.0,11.0,2.0,68,26,17,6,2,1,5,3,0,2,2,0,0,0,0.6538461538461539,0.38235294117647056,0.42857142857142855,0.14285714285714285,0.18181818181818182,0.35714285714285715,0.18181818181818182,LHP,272,36,0.4444444444444444,0.2222222222222222,0.19444444444444445,0.3055555555555556,0.23703703703703705,0.08333333333333333,102.12,0.2926751166666667,0.21452830188679245
1204,Matt Chapman,656305,32.0,23.0,7.0,144,53,41,6,9,0,17,4,4,7,4,2,0,1,0.7735849056603774,0.3680555555555556,0.1875,0.28125,0.30434782608695654,0.5,0.5217391304347826,LHP,454,58,0.3103448275862069,0.1896551724137931,0.29310344827586204,0.29310344827586204,0.15789473684210525,0.08620689655172414,104.9,0.35119626168224294,0.2134819277108434
1205,Matt McLain,680574,12.0,11.0,2.0,49,23,13,5,1,0,6,1,0,4,0,0,0,2,0.5652173913043478,0.46938775510204084,0.4166666666666667,0.08333333333333333,0.18181818181818182,0.25,0.7272727272727273,LHP,301,38,0.34210526315789475,0.21052631578947367,0.3684210526315789,0.3684210526315789,0.20915032679738563,0.18421052631578946,102.5,0.36240870833333333,0.22645901639344262
1206,Matt Mervis,670223,6.0,6.0,2.0,17,12,7,3,0,0,3,1,0,1,0,1,0,1,0.5833333333333334,0.7058823529411765,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,LHP,261,36,0.3333333333333333,0.1388888888888889,0.4166666666666667,0.3333333333333333,0.3643410852713178,0.16666666666666666,104.4,0.30263994117647064,0.19
1207,Matt Olson,621566,21.0,16.0,5.0,96,47,35,5,5,0,11,5,3,3,3,2,0,0,0.7446808510638298,0.4895833333333333,0.23809523809523808,0.23809523809523808,0.3125,0.47619047619047616,0.4375,LHP,447,64,0.5,0.171875,0.28125,0.34375,0.22943722943722944,0.1875,105.51,0.43367071568627447,0.2901547619047619
1208,Matt Shaw,807713,22.0,17.0,5.0,93,43,32,4,5,0,13,8,3,2,3,1,0,1,0.7441860465116279,0.46236559139784944,0.18181818181818182,0.22727272727272727,0.29411764705882354,0.45454545454545453,0.5294117647058824,LHP,272,40,0.45,0.25,0.15,0.3,0.2785714285714286,0.025,97.69999999999999,0.2726617647058824,0.19591379310344828
1209,Matt Thaiss,642136,8.0,6.0,1.0,41,19,15,1,1,1,5,1,2,2,0,1,0,0,0.7894736842105263,0.4634146341463415,0.125,0.125,0.16666666666666666,0.375,0.3333333333333333,LHP,219,30,0.43333333333333335,0.16666666666666666,0.26666666666666666,0.26666666666666666,0.18095238095238095,0.0,99.86,0.27935409615384615,0.16107317073170732
1210,Matt Wallner,670242,7.0,5.0,3.0,31,11,7,1,2,0,4,0,1,2,0,2,0,1,0.6363636363636364,0.3548387096774194,0.14285714285714285,0.2857142857142857,0.6,0.7142857142857143,1.6,LHP,272,38,0.3157894736842105,0.18421052631578946,0.4473684210526316,0.3157894736842105,0.2857142857142857,0.10526315789473684,106.76,0.3462564776119403,0.2313859649122807
1211,Mauricio Dubon,643289,1.0,1.0,0.0,5,2,2,0,0,0,1,1,0,0,0,0,0,0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,LHP,115,26,0.46153846153846156,0.15384615384615385,0.3076923076923077,0.38461538461538464,0.26785714285714285,0.0,96.61999999999999,0.29593548387096774,0.25848275862068965
1212,Max Kepler,596146,20.0,20.0,4.0,71,37,25,7,0,0,13,8,3,1,3,1,0,0,0.6756756756756757,0.5211267605633803,0.35,0.0,0.2,0.2,0.25,LHP,338,61,0.45901639344262296,0.2786885245901639,0.21311475409836064,0.3442622950819672,0.26282051282051283,0.06557377049180328,103.45,0.34044787499999996,0.2813076923076923
1213,Max Muncy,571970,28.0,23.0,2.0,131,53,38,9,4,0,15,3,3,7,1,1,0,0,0.7169811320754716,0.40458015267175573,0.32142857142857145,0.14285714285714285,0.08695652173913043,0.21428571428571427,0.13043478260869565,LHP,384,43,0.32558139534883723,0.27906976744186046,0.32558139534883723,0.46511627906976744,0.23118279569892472,0.13953488372093023,104.45,0.3348706117647059,0.22313513513513514
