,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
65,Davis Martin,663436,21448,CWS,MLB,28.6,0.179,0.083,0.085,0.065,0.247,0.246,0.311,0.041,3.905,0.014,1.03,0.9573333333333333,0.9123333333333333,1.1083333333333332,1.0343333333333333,1.0270000000000001,1.0146666666666666,1.0513333333333335,0.9506666666666667,1.0496666666666665,1.0143333333333333,0.957,1.0323333333333333,0.9976666666666666,0.9133333333333333,0.9306666666666666
66,Yoendrys Gomez,672782,22872,CWS,MLB,25.9,0.195,0.096,0.104,0.059,0.242,0.31,0.235,0.044,3.905,0.017,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
67,Grant Taylor,691799,33927,CWS,MLB,23.3,0.296,0.082,0.066,0.066,0.24,0.227,0.339,0.052,3.874,0.0,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
68,Steven Wilson,621051,20353,CWS,MLB,31.0,0.223,0.099,0.081,0.063,0.238,0.388,0.197,0.045,3.905,0.013,1.0206666666666666,0.9613333333333333,0.863,1.1946666666666665,1.0036666666666667,1.0636666666666668,0.9966666666666666,1.0816666666666668,0.9643333333333334,1.0496666666666665,1.008,0.9643333333333333,1.0086666666666666,1.014,0.9963333333333333,0.8263333333333333
69,Jordan Leasure,673929,29950,CWS,MLB,27.0,0.239,0.111,0.087,0.072,0.236,0.312,0.267,0.042,3.905,0.008,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
70,Brandon Eisert,685126,27668,CWS,MLB,27.6,0.242,0.068,0.084,0.063,0.242,0.253,0.317,0.043,3.905,0.009,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
71,Mike Vasil,678024,30105,CWS,MLB,25.4,0.194,0.107,0.077,0.056,0.235,0.245,0.381,0.043,3.889,0.015,1.0276666666666665,0.9573333333333333,0.926,1.095,0.9556666666666667,1.1126666666666667,0.9983333333333333,1.0696666666666668,0.948,1.0566666666666666,1.0166666666666666,0.954,1.012,1.0163333333333333,1.0496666666666665,0.7833333333333333
72,Tyler Gilbert,656457,17964,CWS,MLB,31.7,0.193,0.081,0.09,0.071,0.24,0.283,0.274,0.043,3.905,0.01,0.944,1.0913333333333333,0.9873333333333333,0.9993333333333333,1.098,0.8073333333333333,1.0343333333333333,0.9033333333333333,1.0376666666666665,0.944,0.9343333333333333,1.1203333333333334,1.0233333333333332,0.9433333333333334,0.8976666666666666,1.268
73,Tyler Alexander,641302,17735,CWS,MLB,31.1,0.218,0.06,0.087,0.067,0.244,0.291,0.252,0.045,3.905,0.007,0.9723333333333333,1.048,1.0343333333333333,0.889,1.0553333333333332,0.8863333333333333,1.048,0.8716666666666667,1.025,0.96,0.9516666666666667,1.0993333333333335,1.027,0.9306666666666666,0.8823333333333333,1.3146666666666667
74,Martin Perez,527048,6902,CWS,MLB,34.4,0.171,0.082,0.076,0.063,0.245,0.23,0.335,0.045,3.905,0.01,0.9813333333333333,1.0203333333333333,1.0346666666666666,0.8353333333333333,1.0876666666666666,0.7656666666666666,1.0563333333333333,0.828,1.027,0.9406666666666667,0.9516666666666667,1.1166666666666667,1.0303333333333333,0.9083333333333333,0.8326666666666667,1.5346666666666668
