BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,,,,,0.086956522,77.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,0.75,0,0.25,0,0.2,91.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,0.5,0,0,0.5,0,90.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7,0.428571429,0.142857143,0.428571429,0.428571429,0.307692308,91.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,6,0.333333333,0.166666667,0.333333333,0,0.272727273,87.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,6,0.833333333,0,0.166666667,0,0.346153846,90.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7,0.285714286,0.428571429,0.285714286,0.571428571,0.142857143,82.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,0.285714286,0.428571429,0,0.428571429,0.263157895,93.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4,0.25,0.5,0.25,0.25,0.3,93.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,55,11,0.454545455,0.181818182,0.363636364,0.363636364,0.230769231,93.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8,0.125,0.25,0.25,0.25,0.153846154,78.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,0.5,0.5,0,0.5,0.208333333,93.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,,,,0,92.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,64,11,0.636363636,0,0.363636364,0.181818182,0.272727273,89.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,42,5,0.4,0.4,0.2,0.6,0.19047619,94.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,1,0,0,0,0.375,91.2
