,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
19,George Kirby,SEA,15.48,30.0,176.5,180,165,3.5,1.07,10,166,70,508.32,35.0,45.08,10.0,25.0
1,Logan Webb,SF,15.46,31.0,191.0,180,158,3.65,1.21,11,172,73,510.55,36.0,106.71333333333334,30.0,6.0
46,Justin Steele,CHC,15.36,29.0,164.9,180,184,3.45,1.16,12,154,69,521.23,37.0,130.06666666666666,39.0,-2.0
51,Max Fried,NYY,15.3,28.0,163.8,180,189,3.5,1.2,14,158,70,529.95,38.0,93.78666666666666,24.0,14.0
10,Kevin Gausman,TOR,15.05,31.0,180.4,180,167,3.7,1.21,12,156,74,508.5,39.0,171.27333333333334,49.0,-10.0
45,Hunter Brown,HOU,14.95,29.0,164.9,180,192,3.9,1.22,10,159,78,503.43,40.0,114.35333333333334,34.0,6.0
43,Zac Gallen,ARI,14.93,29.0,166.2,180,190,3.8,1.24,12,153,76,511.35,41.0,122.82,36.0,5.0
4,Seth Lugo,KC,14.89,30.0,184.4,180,154,3.7,1.15,12,165,74,494.5,42.0,176.8,51.0,-9.0
97,Spencer Arrighetti,HOU,14.78,27.0,145.2,180,214,3.9,1.18,9,143,78,503.3,43.0,209.35333333333327,60.0,-17.0
79,Kodai Senga,NYM,14.74,26.0,151.6,180,211,3.95,1.26,13,149,79,517.3,44.5,152.45333333333335,44.0,0.5
50,Freddy Peralta,MIL,14.74,30.0,164.1,180,199,4.15,1.26,10,153,83,500.22,44.5,107.78666666666666,32.0,12.5
25,Sandy Alcantara,MIA,14.69,27.0,172.6,180,172,3.85,1.18,11,169,77,490.95,46.0,158.82,45.0,1.0
108,Brandon Woodruff,MIL,14.66,24.0,140.0,180,205,3.6,1.09,11,145,72,503.8,47.0,226.8,63.0,-16.0
86,Brandon Pfaadt,ARI,14.61,25.0,150.1,180,191,3.7,1.08,11,155,74,496.92,48.0,191.42,56.0,-8.0
6,Jose Berrios,TOR,14.59,31.0,184.2,180,167,4.2,1.23,11,168,84,484.65,49.0,238.24,70.0,-21.0
16,Mitch Keller,PIT,14.49,30.0,178.3,180,170,4.05,1.23,9,169,81,474.18,50.0,293.6533333333333,82.0,-32.0
80,Sean Manaea,NYM,14.47,26.0,150.8,180,196,3.8,1.16,13,152,76,501.7,51.0,189.2,55.0,-4.0
95,Robbie Ray,SF,14.46,27.0,146.4,180,207,3.9,1.18,12,153,78,502.2,52.0,178.02666666666667,52.0,0.0
71,Grayson Rodriguez,BAL,14.43,27.0,154.6,180,195,3.9,1.2,10,157,78,489.25,53.0,112.7,33.0,20.0
180,Spencer Strider,ATL,14.38,20.0,111.5,180,238,3.55,1.09,12,138,71,512.28,54.0,124.69333333333331,38.0,16.0
64,Jared Jones,PIT,14.35,28.0,159.2,180,192,4.0,1.22,7,161,80,474.0,55.0,147.79333333333332,43.0,12.0
177,Shohei Ohtani,LAD,14.32,20.0,113.0,180,235,3.55,1.09,15,136,71,521.65,56.0,1.4066666666666667,1.0,55.0
30,Luis Severino,OAK,14.23,30.0,171.6,180,176,4.1,1.25,10,165,82,473.7,57.0,306.6363636363636,88.0,-31.0
