,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Jose Tena,WSH,23691,677588.0,24,334.0,299.0,216.0,84.0,0.25274399999999997,31.0,0.09344,1.0,3.0,0.36,0.089,0.049,0.315,0.31,0.183,0.055,78.0,53.0,13.0,1.0,11.0,131.0,0.26,0.334,0.419,0.753,33.0,37.0,13.4,9.6,4.0,3B,1.0,2.33,74.0
0,Jose Trevino,CIN,16725,624431.0,32,242.0,226.0,185.0,41.0,0.169452,15.0,0.06028571428571429,0.0,1.0,0.294,0.051,0.047,0.221,0.373,0.263,0.044,54.0,37.0,10.0,0.0,6.0,86.0,0.241,0.291,0.375,0.666,27.0,27.0,1.6,1.5,0.0,,1.0,1.0,54.0
0,Adam Duvall,,,594807.0,36,206.0,189.0,126.0,63.0,0.3077532729103726,13.0,0.06538210612754035,1.0,3.0,0.39,0.12231404958677686,0.05950413223140496,0.2049586776859504,0.18181818181818182,0.3834710743801653,0.047933884297520664,49.0,23.0,14.0,1.0,11.0,98.0,0.26,0.317,0.518,0.835,21.0,22.0,1.1,0.9,0.0,,1.0,1.0,46.0
0,Josh Rojas,CWS,19734,668942.0,30,374.0,339.0,254.0,86.0,0.22860000000000003,34.0,0.09012941888619853,1.0,1.0,0.326,0.056,0.071,0.264,0.274,0.29,0.046,83.0,56.0,17.0,1.0,9.0,135.0,0.244,0.314,0.376,0.691,40.0,36.0,11.1,9.3,2.0,3B,1.0,2.13,83.0
0,Josh Smith,TEX,26396,669701.0,27,380.0,332.0,252.0,81.0,0.213,35.0,0.09254876560332873,1.0,12.0,0.313,0.052,0.06,0.257,0.281,0.294,0.055,79.0,53.0,16.0,1.0,9.0,128.0,0.237,0.332,0.372,0.703,42.0,40.0,8.0,6.2,2.0,"3B, SS",1.0,2.01,84.0
0,Juan Brito,CLE,sa3009808,682877.0,23,282.0,250.0,196.0,54.0,0.19110853355426677,28.0,0.09984140134927211,1.0,3.0,0.295,0.069,0.056,0.237,0.301,0.295,0.043,58.0,37.0,12.0,1.0,8.0,97.0,0.232,0.318,0.382,0.7,32.0,31.0,6.2,4.1,2.0,2B,1.0,1.32,63.0
0,Justin Turner,CHC,5235,457759.0,40,337.0,297.0,234.0,63.0,0.1876,33.0,0.09822326793378296,1.0,7.0,0.323,0.055,0.073,0.273,0.262,0.304,0.032,76.0,51.0,15.0,1.0,9.0,119.0,0.255,0.342,0.399,0.741,38.0,38.0,2.1,1.3,1.0,1B,1.0,1.44,75.0
0,Ke'Bryan Hayes,PIT,18577,663647.0,28,529.0,493.0,390.0,104.0,0.19619999999999999,32.0,0.06085009306654258,1.0,3.0,0.318,0.05,0.075,0.251,0.361,0.231,0.033,124.0,87.0,25.0,2.0,10.0,190.0,0.252,0.3,0.373,0.673,60.0,58.0,13.5,9.9,4.0,3B,1.0,3.97,118.0
0,Josh Bell,WSH,13145,605137.0,32,560.0,503.0,386.0,119.0,0.21217999999999998,52.0,0.09277997658079626,1.0,3.0,0.316,0.084,0.06,0.226,0.361,0.232,0.037,122.0,78.0,23.0,2.0,19.0,203.0,0.243,0.317,0.407,0.724,62.0,67.0,3.1,0.6,3.0,1B,1.0,4.31,124.0
0,Hunter Goodman,COL,29715,696100.0,25,307.0,287.0,203.0,85.0,0.27759999999999996,15.0,0.049391428571428565,1.0,4.0,0.311,0.115,0.073,0.173,0.313,0.274,0.053,63.0,33.0,15.0,1.0,14.0,123.0,0.22,0.268,0.428,0.696,37.0,38.0,2.4,1.6,1.0,"C, OF",0.93,1.81,68.0
0,Jonah Heim,TEX,16930,641680.0,29,366.0,339.0,270.0,70.0,0.19040000000000004,24.0,0.06673352534562212,1.0,2.0,0.307,0.068,0.062,0.244,0.298,0.291,0.036,83.0,54.0,16.0,1.0,11.0,137.0,0.245,0.298,0.401,0.699,38.0,39.0,2.6,2.0,1.0,C,0.8,1.75,81.0
0,Joey Bart,PIT,21524,663698.0,28,368.0,332.0,225.0,108.0,0.2928,28.0,0.07657142857142857,1.0,7.0,0.339,0.089,0.052,0.278,0.285,0.23,0.066,76.0,50.0,15.0,1.0,10.0,125.0,0.23,0.303,0.372,0.675,39.0,42.0,2.1,1.7,0.0,C,0.77,1.69,82.0
