,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,Unnamed: 0,System,ADP,xMLBAMID,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,FIP,MLBID,$,Deep $
86,Clay Holmes,NYM,13649,605280.0,607.0,142.6,20.0,121.88,64.99,8.0,8.6,0.0,60.0,15.0,0.9,0.254,9.7,154.0,49.0,3.1,0.081,12.0,82.8,22.080000000000002,2.0,3.79,1.2,0.641,0.202,0.134,79.58800000000001,216.34199999999998,89.284,,,,,,,,,,,,,,,,,8.4,6.85
87,Luis L. Ortiz,CLE,27646,682847.0,622.0,141.4,24.0,135.0,71.78,7.0,8.7,0.0,66.0,18.0,1.1,0.185,7.3,115.0,53.0,3.4,0.086,7.0,87.4,27.6,2.0,4.2,1.33,0.456,0.24,0.244,114.408,201.122,108.96,,,,,,,,,,,,,,,,,1.0,3.94
88,Nestor Cortes,MIL,17874,641482.0,588.0,140.8,22.0,118.44000000000001,62.08,8.0,9.5,0.0,57.0,19.0,1.2,0.235,8.8,138.0,38.0,2.4,0.064,3.0,73.60000000000001,24.84,1.0,3.64,1.11,0.306,0.235,0.345,124.63,151.61599999999999,97.85,,,,,,,,,,,,,,,,,9.77,7.78
89,Shane Baz,TB,22264,669358.0,603.0,140.7,24.0,124.2,68.87,7.0,7.8,0.0,64.0,21.0,1.3,0.234,9.0,141.0,48.0,3.1,0.08,7.0,76.36,24.84,2.0,4.09,1.22,0.375,0.241,0.297,115.29899999999999,166.635,99.567,,,,,,,,,,,,,,,,,6.31,5.52
90,Jon Gray,TEX,14916,592351.0,603.0,140.5,24.0,130.64,67.89999999999999,9.0,11.6,0.0,63.0,20.0,1.3,0.206,7.9,124.0,42.0,2.7,0.07,6.0,84.64,23.0,3.0,4.04,1.23,0.424,0.244,0.264,114.494,186.599,105.75399999999999,,,,,,,,,,,,,,,,,1.0,5.6
91,Michael Lorenzen,KC,14843,547179.0,620.0,140.3,22.0,129.48,71.78,8.0,11.6,0.0,66.0,18.0,1.2,0.187,7.4,116.0,60.0,3.8,0.096,5.0,82.8,26.68,2.0,4.23,1.35,0.422,0.244,0.265,116.55000000000001,189.144,107.448,,,,,,,,,,,,,,,,,1.0,3.84
92,Ryan Weathers,MIA,23796,677960.0,613.0,140.1,25.0,134.4,73.72,6.0,9.0,0.0,68.0,21.0,1.3,0.205,8.1,126.0,49.0,3.1,0.08,10.0,83.72,26.68,3.0,4.37,1.31,0.437,0.242,0.255,112.785,189.873,105.55799999999999,,,,,,,,,,,,,,,,,1.0,3.72
93,Brandon Woodruff,MIL,16162,605540.0,582.0,140.0,24.0,113.0,62.08,9.0,13.1,0.0,57.0,19.0,1.2,0.275,10.3,160.0,41.0,2.6,0.07,5.0,70.84,21.16,2.0,3.66,1.1,0.373,0.239,0.298,106.299,152.9715,91.2495,,,,,,,,,,,,,,,,,10.49,8.15
94,Reese Olson,DET,24968,681857.0,596.0,140.0,26.0,123.96000000000001,64.02,7.0,8.9,0.0,59.0,17.0,1.1,0.226,8.7,135.0,44.0,2.8,0.074,3.0,80.96000000000001,23.0,3.0,3.79,1.2,0.464,0.241,0.236,103.416,186.399,100.2885,,,,,,,,,,,,,,,,,7.6,6.42
95,David Peterson,NYM,20302,656849.0,615.0,139.8,25.0,129.56,71.78,9.0,10.3,0.0,66.0,19.0,1.2,0.219,8.7,135.0,56.0,3.6,0.091,9.0,84.64,23.92,2.0,4.25,1.33,0.516,0.229,0.208,99.216,200.552,99.428,,,,,,,,,,,,,,,,,1.0,4.41
96,Jose Soriano,LAA,22100,667755.0,612.0,139.0,25.0,127.56,70.81,9.0,13.2,0.0,65.0,17.0,1.1,0.209,8.3,128.0,58.0,3.8,0.094,15.0,85.56,23.0,2.0,4.21,1.33,0.596,0.206,0.169,91.37700000000001,218.538,94.99799999999999,,,,,,,,,,,,,,,,,4.42,4.36
97,Roki Sasaki,LAD,sa3025686,808963.0,566.735,138.51,24.3,110.497,54.9771,10.0,13.6872,0.0,50.8663,16.0,1.07,0.316,11.6254,179.0,43.0,2.82502,0.077,6.535,,,,3.31,1.11,0.395873,,,,,,16.0,Steamer,97.0199966430664,808963.0,6.4515,24.3,0.0,,0.3837,4.11515,0.2389789000153541,0.213842,0.292617,0.756165,3.21183,,12.46,9.39
98,Tobias Myers,MIL,22191,668964.0,590.0,138.4,24.0,125.12,66.92999999999999,7.0,9.0,0.0,62.0,21.0,1.4,0.222,8.5,131.0,41.0,2.7,0.069,5.0,78.2,23.92,2.0,4.03,1.2,0.392,0.241,0.286,114.114,171.798,100.529,,,,,,,,,,,,,,,,,6.49,5.68
99,German Marquez,COL,15038,608566.0,610.0,138.4,25.0,137.24,72.75,8.0,13.2,0.0,67.0,21.0,1.4,0.215,8.5,131.0,48.0,3.1,0.079,3.0,85.56,26.68,4.0,4.36,1.34,0.483,0.24,0.222,103.871,196.75150000000002,103.44,,,,,,,,,,,,,,,,,1.0,3.79
100,Andre Pallante,STL,26108,669467.0,625.0,138.1,23.0,140.36,71.78,7.0,9.4,0.0,66.0,16.0,1.0,0.161,6.6,101.0,59.0,3.8,0.094,3.0,96.60000000000001,25.76,2.0,4.3,1.44,0.641,0.202,0.134,91.605,249.0075,102.765,,,,,,,,,,,,,,,,,1.0,2.63
101,Jeffrey Springs,OAK,17677,605488.0,577.0,138.0,25.0,114.60000000000001,59.17,8.0,8.9,0.0,55.0,16.0,1.0,0.267,10.0,154.0,40.0,2.6,0.069,2.0,73.60000000000001,23.0,2.0,3.59,1.12,0.398,0.243,0.281,103.6015,158.562,92.4945,,,,,,,,,,,,,,,,,10.1,7.95
102,Ben Lively,CLE,14932,594902.0,594.0,137.6,25.0,128.72000000000003,67.89999999999999,7.0,9.4,0.0,63.0,20.0,1.3,0.198,7.7,118.0,43.0,2.8,0.073,5.0,81.88000000000001,24.84,2.0,4.12,1.25,0.412,0.243,0.272,115.17800000000001,182.293,104.56949999999999,,,,,,,,,,,,,,,,,1.0,5.03
103,Bryan Woo,SEA,30279,693433.0,568.0,137.1,25.0,120.28,60.14,8.0,9.7,0.0,56.0,18.0,1.2,0.226,8.4,128.0,28.0,1.8,0.05,7.0,78.2,22.080000000000002,2.0,3.68,1.08,0.404,0.244,0.277,110.622,171.804,99.704,,,,,,,,,,,,,,,,,9.68,7.75
104,Andrew Abbott,CIN,29911,671096.0,595.0,136.8,25.0,122.52000000000001,69.84,8.0,10.1,0.0,64.0,23.0,1.5,0.219,8.6,130.0,53.0,3.5,0.089,2.0,73.60000000000001,23.92,2.0,4.21,1.28,0.318,0.24,0.333,122.15799999999999,154.088,98.88,,,,,,,,,,,,,,,,,1.0,4.74
105,Gavin Williams,CLE,30122,668909.0,591.0,136.7,26.0,115.44000000000001,64.02,8.0,9.3,0.0,59.0,15.0,1.0,0.236,9.2,139.0,57.0,3.8,0.096,6.0,74.52000000000001,23.92,2.0,3.88,1.26,0.41,0.244,0.273,105.26750000000001,165.9,95.59,,,,,,,,,,,,,,,,,6.76,5.86
106,Clarke Schmidt,NYY,19899,657376.0,584.0,136.6,24.0,119.44,65.96,8.0,7.7,0.0,61.0,19.0,1.3,0.245,9.4,143.0,46.0,3.0,0.078,10.0,76.36,22.080000000000002,2.0,4.02,1.21,0.412,0.243,0.272,105.07000000000001,166.295,95.3925,,,,,,,,,,,,,,,,,7.06,6.0
107,Nick Lodolo,CIN,26378,666157.0,578.0,135.6,24.0,120.44000000000001,69.84,8.0,10.1,0.0,64.0,20.0,1.3,0.253,9.7,146.0,42.0,2.8,0.072,23.0,74.52000000000001,23.92,2.0,4.25,1.2,0.459,0.24,0.241,97.695,173.355,93.6,,,,,,,,,,,,,,,,,6.46,5.56
108,Zack Littell,TB,15823,641793.0,570.0,135.0,23.0,128.8,64.99,8.0,10.4,0.0,60.0,21.0,1.4,0.19,7.2,108.0,27.0,1.8,0.047,5.0,80.96000000000001,24.84,2.0,4.0,1.15,0.39,0.241,0.287,118.97249999999998,178.35000000000002,104.61749999999999,,,,,,,,,,,,,,,,,1.0,6.1
109,Eduardo Rodriguez,ARI,13164,593958.0,579.0,134.1,24.0,122.12,64.99,9.0,10.6,0.0,60.0,17.0,1.1,0.219,8.5,127.0,46.0,3.1,0.079,3.0,77.28,24.84,3.0,4.03,1.25,0.434,0.242,0.257,104.95100000000001,175.392,97.846,,,,,,,,,,,,,,,,,1.0,5.52
